ID,Sites,value
Miscanthus_sinensis,MYB_1R,193
Saccharum_spp,MYB_1R,65
Saccharum_spontaneum,MYB_1R,104
Panicum_miliaceum,MYB_1R,171
Dichanthelium_oligosanthes,MYB_1R,81
Digitaria_exilis,MYB_1R,190
Panicum_hallii,MYB_1R,102
Cenchrus_purpureus,MYB_1R,219
Setaria_viridis,MYB_1R,109
Alloteropsis_semialata,MYB_1R,90
Echinochloa_crus-galli,MYB_1R,274
Zizania_palustris,MYB_1R,154
Leersia_perrieri,MYB_1R,93
Oryza_granulata,MYB_1R,87
Oryza_brachyantha,MYB_1R,100
Oryza_coarctata,MYB_1R,110
Oryza_officinalis,MYB_1R,126
Oryza_rhizomatis,MYB_1R,131
Oryza_sativa,MYB_1R,99
Oryza_glaberrima,MYB_1R,91
Bonia_amplexicaulis,MYB_1R,164
Guadua_angustifolia,MYB_1R,147
Olyra_latifolia,MYB_1R,85
Raddia_guianensis,MYB_1R,69
Raddia_distichophylla,MYB_1R,69
Brachypodium_hybridum,MYB_1R,174
Brachypodium_stacei,MYB_1R,96
Brachypodium_distachyon,MYB_1R,93
Puccinellia_tenuiflora,MYB_1R,135
Avena_eriantha,MYB_1R,98
Avena_atlantica,MYB_1R,94
Secale_cereale,MYB_1R,115
Hordeum_vulgare,MYB_1R,89
Aegilops_tauschii,MYB_1R,120
Triticum_urartu,MYB_1R,113
Triticum_aestivum,MYB_1R,312
Triticum_turgidum,MYB_1R,199
Eschscholzia_californica,MYB_1R,109
Macleaya_cordata,MYB_1R,77
Papaver_somniferum,MYB_1R,135
Kingdonia_uniflora,MYB_1R,91
Coptis_chinensis,MYB_1R,76
Aquilegia_coerulea,MYB_1R,72
Thalictrum_thalictroides,MYB_1R,76
Nelumbo_nucifera,MYB_1R,101
Macadamia_integrifolia,MYB_1R,102
Tetracentron_sinense,MYB_1R,162
Trochodendron_aralioides,MYB_1R,140
Malania_oleifera,MYB_1R,71
Fagopyrum_tataricum,MYB_1R,108
Fagopyrum_esculentum,MYB_1R,120
Aldrovanda_vesiculosa,MYB_1R,93
Dionaea_muscipula,MYB_1R,58
Drosera_spatulata,MYB_1R,62
Simmondsia_chinensis,MYB_1R,75
Phytolacca_americana,MYB_1R,99
Selenicereus_undatus,MYB_1R,92
Dianthus_caryophyllus,MYB_1R,97
Amaranthus_palmeri,MYB_1R,91
Amaranthus_tuberculatus,MYB_1R,37
Amaranthus_hybridus,MYB_1R,89
Amaranthus_hypochondriacus,MYB_1R,113
Suaeda_aralocaspica,MYB_1R,63
Beta_patula,MYB_1R,62
Beta_vulgaris,MYB_1R,63
Spinacia_oleracea,MYB_1R,58
Atriplex_hortensis,MYB_1R,66
Chenopodium_pallidicaule,MYB_1R,68
Chenopodium_quinoa,MYB_1R,131
Hydrangea_macrophylla,MYB_1R,105
Davidia_involucrata,MYB_1R,147
Camptotheca_acuminata,MYB_1R,127
Nyssa_sinensis,MYB_1R,145
Nyssa_yunnanensis,MYB_1R,150
Diospyros_oleifera,MYB_1R,97
Diospyros_lotus,MYB_1R,127
Aegiceras_corniculatum,MYB_1R,112
Primula_vulgaris,MYB_1R,97
Primula_veris,MYB_1R,78
Camellia_sinensis,MYB_1R,107
Roridula_gorgonias,MYB_1R,122
Actinidia_eriantha,MYB_1R,169
Clethra_arborea,MYB_1R,136
Vaccinium_myrtillus,MYB_1R,103
Vaccinium_corymbosum,MYB_1R,291
Vaccinium_macrocarpon,MYB_1R,86
Vaccinium_microcarpum,MYB_1R,117
Rhododendron_delavayi,MYB_1R,98
Rhododendron_williamsianum,MYB_1R,94
Rhododendron_griersonianum,MYB_1R,106
Rhododendron_simsii,MYB_1R,88
Lonicera_japonica,MYB_1R,83
Panax_ginseng,MYB_1R,198
Daucus_carota,MYB_1R,109
Apium_graveolens,MYB_1R,130
Coriandrum_sativum,MYB_1R,145
Carthamus_tinctorius,MYB_1R,96
Cynara_cardunculus,MYB_1R,112
Lactuca_sativa,MYB_1R,103
Taraxacum_kok-saghyz,MYB_1R,110
Helianthus_annuus,MYB_1R,106
Stevia_rebaudiana,MYB_1R,121
Mikania_micrantha,MYB_1R,125
Artemisia_annua,MYB_1R,144
Chrysanthemum_seticuspe,MYB_1R,123
Chrysanthemum_nankingense,MYB_1R,114
Fraxinus_excelsior,MYB_1R,184
Olea_europaea,MYB_1R,190
Boea_hygrometrica,MYB_1R,84
Buddleja_alternifolia,MYB_1R,111
Antirrhinum_majus,MYB_1R,121
Jacaranda_mimosifolia,MYB_1R,124
Handroanthus_impetiginosus,MYB_1R,116
Strobilanthes_cusia,MYB_1R,129
Genlisea_aurea,MYB_1R,65
Utricularia_gibba,MYB_1R,102
Utricularia_reniformis,MYB_1R,150
Striga_asiatica,MYB_1R,117
Phtheirospermum_japonicum,MYB_1R,100
Erythranthe_luteus,MYB_1R,196
Erythranthe_guttatus,MYB_1R,106
Callicarpa_americana,MYB_1R,122
Tectona_grandis,MYB_1R,129
Pogostemon_cablin,MYB_1R,351
Scutellaria_barbata,MYB_1R,99
Scutellaria_baicalensis,MYB_1R,111
Ocimum_sanctum,MYB_1R,161
Mentha_longifolia,MYB_1R,70
Salvia_miltiorrhiza,MYB_1R,117
Salvia_splendens,MYB_1R,211
Catharanthus_roseus,MYB_1R,67
Calotropis_gigantea,MYB_1R,79
Asclepias_syriaca,MYB_1R,48
Ophiorrhiza_pumila,MYB_1R,67
Chiococca_alba,MYB_1R,110
Mitragyna_speciosa,MYB_1R,176
Gardenia_jasminoides,MYB_1R,110
Coffea_arabica,MYB_1R,135
Coffea_canephora,MYB_1R,82
Cuscuta_australis,MYB_1R,66
Cuscuta_campestris,MYB_1R,120
Ipomoea_triloba,MYB_1R,139
Ipomoea_nil,MYB_1R,118
Nicotiana_sylvestris,MYB_1R,117
Nicotiana_tabacum,MYB_1R,212
Nicotiana_tomentosiformis,MYB_1R,117
Datura_stramonium,MYB_1R,14
Capsicum_baccatum,MYB_1R,108
Capsicum_annuum,MYB_1R,95
Capsicum_chinense,MYB_1R,116
Solanum_commersonii,MYB_1R,122
Solanum_phureja,MYB_1R,134
Solanum_aethiopicum,MYB_1R,89
Solanum_tuberosum,MYB_1R,134
Solanum_chacoense,MYB_1R,105
Solanum_chilense,MYB_1R,99
Solanum_pennellii,MYB_1R,117
Solanum_lycopersicum,MYB_1R,113
Solanum_pimpinellifolium,MYB_1R,94
Paeonia_suffruticosa,MYB_1R,63
Kalanchoe_fedtschenkoi,MYB_1R,121
Rhodiola_crenulata,MYB_1R,99
Vitis_amurensis,MYB_1R,119
Vitis_vinifera,MYB_1R,99
Vitis_riparia,MYB_1R,136
Vitis_rotundifolia,MYB_1R,188
Punica_granatum,MYB_1R,94
Corymbia_citriodora,MYB_1R,105
Eucalyptus_grandis,MYB_1R,94
Sclerocarya_birrea,MYB_1R,86
Pistacia_vera,MYB_1R,91
Xanthoceras_sorbifolium,MYB_1R,114
Dimocarpus_longan,MYB_1R,98
Acer_yangbiense,MYB_1R,98
Acer_truncatum,MYB_1R,95
Toona_sinensis,MYB_1R,168
Atalantia_buxifolia,MYB_1R,88
Citrus_unshiu,MYB_1R,122
Citrus_ichangensis,MYB_1R,101
Citrus_clementina,MYB_1R,162
Poncirus_trifoliata,MYB_1R,93
Citrus_sinensis,MYB_1R,93
Citrus_grandis,MYB_1R,93
Citrus_medica,MYB_1R,104
Theobroma_cacao,MYB_1R,88
Bombax_ceiba,MYB_1R,186
Durio_zibethinus,MYB_1R,179
Corchorus_capsularis,MYB_1R,68
Corchorus_olitorius,MYB_1R,78
Hibiscus_syriacus,MYB_1R,339
Hibiscus_cannabinus,MYB_1R,31
Gossypioides_kirkii,MYB_1R,132
Gossypium_australe,MYB_1R,111
Gossypium_turneri,MYB_1R,166
Gossypium_raimondii,MYB_1R,137
Gossypium_longicalyx,MYB_1R,135
Gossypium_herbaceum,MYB_1R,141
Gossypium_arboreum,MYB_1R,141
Gossypium_barbadense,MYB_1R,251
Gossypium_tomentosum,MYB_1R,257
Gossypium_mustelinum,MYB_1R,249
Gossypium_hirsutum,MYB_1R,254
Gossypium_darwinii,MYB_1R,248
Moringa_oleifera,MYB_1R,82
Carica_papaya,MYB_1R,84
Tarenaya_hassleriana,MYB_1R,133
Microthlaspi_erraticum,MYB_1R,114
Eutrema_salsugineum,MYB_1R,103
Raphanus_raphanistrum,MYB_1R,92
Brassica_rapa,MYB_1R,175
Brassica_juncea,MYB_1R,287
Megacarpaea_delavayi,MYB_1R,123
Cardamine_hirsuta,MYB_1R,106
Arabidopsis_thaliana,MYB_1R,103
Camelina_sativa,MYB_1R,299
Capsella_grandiflora,MYB_1R,106
Capsella_rubella,MYB_1R,110
Lobularia_maritima,MYB_1R,109
Megadenia_pygmaea,MYB_1R,111
Raphanus_sativus,MYB_1R,166
Brassica_oleracea,MYB_1R,169
Brassica_napus,MYB_1R,335
Sinapis_alba,MYB_1R,195
Brassica_carinata,MYB_1R,313
Brassica_nigra,MYB_1R,175
Tripterygium_wilfordii,MYB_1R,148
Averrhoa_carambola,MYB_1R,97
Cephalotus_follicularis,MYB_1R,78
Kandelia_obovata,MYB_1R,100
Mercurialis_annua,MYB_1R,112
Hevea_brasiliensis,MYB_1R,174
Vernicia_fordii,MYB_1R,86
Passiflora_organensis,MYB_1R,115
Passiflora_edulis,MYB_1R,111
Salix_brachista,MYB_1R,124
Salix_suchowensis,MYB_1R,155
Populus_glandulosa_x_alba,MYB_1R,201
Populus_pruinosa,MYB_1R,136
Populus_euphratica,MYB_1R,145
Populus_trichocarpa,MYB_1R,133
Populus_tremula,MYB_1R,136
Populus_alba,MYB_1R,148
Faidherbia_albida,MYB_1R,121
Senna_tora,MYB_1R,134
Mimosa_pudica,MYB_1R,107
Lupinus_albus,MYB_1R,141
Ammopiptanthus_nanus,MYB_1R,100
Dalbergia_odorifera,MYB_1R,107
Aeschynomene_evenia,MYB_1R,119
Arachis_ipaensis,MYB_1R,82
Arachis_monticola,MYB_1R,176
Arachis_hypogaea,MYB_1R,220
Lotus_japonicus,MYB_1R,91
Pisum_sativum,MYB_1R,109
Trifolium_subterranum,MYB_1R,117
Trifolium_pratense,MYB_1R,145
Medicago_ruthenica,MYB_1R,130
Medicago_sativa,MYB_1R,141
Medicago_truncatula,MYB_1R,132
Medicago_polymorpha,MYB_1R,140
Spatholobus_suberectus,MYB_1R,121
Cajanus_cajan,MYB_1R,125
Amphicarpaea_edgeworthii,MYB_1R,132
Glycine_max,MYB_1R,217
Glycine_soja,MYB_1R,218
Vigna_subterranea,MYB_1R,107
Vigna_angularis,MYB_1R,128
Vigna_unguiculata,MYB_1R,119
Lablab_purpureus,MYB_1R,102
Phaseolus_lunatus,MYB_1R,117
Phaseolus_vulgaris,MYB_1R,121
Siraitia_grosvenorii,MYB_1R,97
Momordica_charantia,MYB_1R,85
Benincasa_hispida,MYB_1R,84
Cucumis_hystrix,MYB_1R,89
Cucurbita_argyrosperma,MYB_1R,150
Cucurbita_moschata,MYB_1R,149
Cucurbita_pepo,MYB_1R,163
Cucurbita_maxima,MYB_1R,150
Fagus_sylvatica,MYB_1R,113
Castanea_mollissima,MYB_1R,137
Quercus_suber,MYB_1R,131
Quercus_robur,MYB_1R,58
Quercus_lobata,MYB_1R,117
Morella_rubra,MYB_1R,95
Juglans_sigillata,MYB_1R,128
Juglans_regia,MYB_1R,130
Carya_cathayensis,MYB_1R,147
Carya_illinoinensis,MYB_1R,140
Casuarina_equisetifolia,MYB_1R,91
Betula_pendula,MYB_1R,92
Betula_platyphylla,MYB_1R,103
Carpinus_fangiana,MYB_1R,92
Corylus_heterophylla,MYB_1R,99
Corylus_mandshurica,MYB_1R,105
Ziziphus_jujuba,MYB_1R,95
Trema_orientalis,MYB_1R,83
Cannabis_sativa,MYB_1R,81
Humulus_lupulus,MYB_1R,115
Boehmeria_nivea,MYB_1R,84
Ficus_microcarpa,MYB_1R,97
Ficus_erecta,MYB_1R,173
Artocarpus_camansi,MYB_1R,139
Morus_notabilis,MYB_1R,81
Artocarpus_altilis,MYB_1R,156
Artocarpus_heterophyllus,MYB_1R,136
Rubus_chingii,MYB_1R,91
Rubus_occidentalis,MYB_1R,86
Rosa_rugosa,MYB_1R,85
Rosa_multiflora,MYB_1R,117
Rosa_chinensis,MYB_1R,80
Potentilla_micrantha,MYB_1R,74
Fragaria_viridis,MYB_1R,87
Fragaria_nubicola,MYB_1R,95
Fragaria_nilgerrensis,MYB_1R,80
Fragaria_iinumae,MYB_1R,86
Fragaria_vesca,MYB_1R,82
Malus_sylvestris,MYB_1R,267
Malus_sieversii,MYB_1R,280
Malus_baccata,MYB_1R,147
Malus_x_domestica,MYB_1R,257
Eriobotrya_japonica,MYB_1R,126
Pyrus_communis,MYB_1R,108
Pyrus_ussuriensis_x_communis,MYB_1R,133
Pyrus_betulifolia,MYB_1R,152
Prunus_yedoensis,MYB_1R,117
Prunus_armeniaca,MYB_1R,88
Prunus_sibirica,MYB_1R,81
Prunus_dulcis,MYB_1R,90
Prunus_persica,MYB_1R,119
Prunus_domestica,MYB_1R,399
Prunus_salicina,MYB_1R,94
Prunus_mandshurica,MYB_1R,81
Prunus_mume,MYB_1R,87
Cyanidioschyzon_merolae,MYB_2R,10
Galdieria_phlegrea,MYB_2R,7
Galdieria_sulphuraria,MYB_2R,7
Porphyridium_purpureum,MYB_2R,27
Porphyra_umbilicalis,MYB_2R,9
Chondrus_crispus,MYB_2R,7
Gracilariopsis_chorda,MYB_2R,9
Prasinoderma_coloniale,MYB_2R,9
Chloropicon_primus,MYB_2R,10
Tetrabaena_socialis,MYB_2R,12
Micromonas_pusilla,MYB_2R,8
Micromonas_commoda,MYB_2R,11
Ostreococcus_tauri,MYB_2R,10
Bathycoccus_prasinos,MYB_2R,9
Asterochloris_glomerata,MYB_2R,10
Coccomyxa_subellipsoidea,MYB_2R,7
Ulva_mutabilis,MYB_2R,4
Auxenochlorella_protothecoides,MYB_2R,6
Chlorella_variabilis,MYB_2R,7
Chlorella_sorokiniana,MYB_2R,8
Micractinium_conductrix,MYB_2R,8
Caulerpa_lentillifera,MYB_2R,6
Chromochloris_zofingiensis,MYB_2R,21
Raphidocelis_subcapitata,MYB_2R,28
Monoraphidium_neglectum,MYB_2R,17
Chlamydomonas_schloesseri,MYB_2R,14
Chlamydomonas_eustigma,MYB_2R,17
Chlamydomonas_incerta,MYB_2R,13
Dunaliella_salina,MYB_2R,10
Haematococcus_pluvialis,MYB_2R,7
Chlamydomonas_reinhardtii,MYB_2R,15
Gonium_pectorale,MYB_2R,15
Volvox_reticuliferus,MYB_2R,18
Volvox_africanus,MYB_2R,15
Volvox_carteri,MYB_2R,20
Klebsormidium_flaccidum,MYB_2R,25
Chara_braunii,MYB_2R,12
Mesotaenium_endlicherianum,MYB_2R,11
Penium_margaritaceum,MYB_2R,22
Marchantia_polymorpha,MYB_2R,29
Physcomitrella_patens,MYB_2R,55
Calohypnum_plumiforme,MYB_2R,32
Fontinalis_antipyretica,MYB_2R,29
Pleurozium_schreberi,MYB_2R,30
Anthoceros_angustus,MYB_2R,14
Anthoceros_agrestis,MYB_2R,16
Anthoceros_punctatus,MYB_2R,13
Selaginella_moellendorffii,MYB_2R,55
Abies_alba,MYB_2R,30
Gnetum_montanum,MYB_2R,10
Sequoiadendron_giganteum,MYB_2R,232
Amborella_trichopoda,MYB_2R,62
Euryale_ferox,MYB_2R,208
Nymphaea_colorata,MYB_2R,100
Nymphaea_thermarum,MYB_2R,102
Piper_nigrum,MYB_2R,76
Liriodendron_chinense,MYB_2R,107
Magnolia_biondii,MYB_2R,109
Chimonanthus_salicifolius,MYB_2R,190
Cinnamomum_kanehirae,MYB_2R,151
Persea_americana,MYB_2R,102
Zostera_marina,MYB_2R,50
Zostera_muelleri,MYB_2R,48
Wolffia_australiana,MYB_2R,32
Lemna_minor,MYB_2R,88
Spirodela_polyrhiza,MYB_2R,84
Spirodela_intermedia,MYB_2R,101
Trichopus_zeylanicus,MYB_2R,138
Dioscorea_rotundata,MYB_2R,122
Dioscorea_dumetorum,MYB_2R,146
Asparagus_officinalis,MYB_2R,90
Allium_sativum,MYB_2R,137
Apostasia_shenzhenica,MYB_2R,83
Vanilla_planifolia,MYB_2R,110
Dendrobium_catenatum,MYB_2R,108
Phalaenopsis_equestris,MYB_2R,121
Phalaenopsis_aphrodite,MYB_2R,117
Calamus_simplicifolius,MYB_2R,175
Phoenix_dactylifera,MYB_2R,161
Areca_catechu,MYB_2R,136
Elaeis_guineensis,MYB_2R,149
Zingiber_officinale,MYB_2R,541
Ensete_ventricosum,MYB_2R,177
Musa_schizocarpa,MYB_2R,276
Musa_itinerans,MYB_2R,248
Musa_acuminata,MYB_2R,300
Musa_balbisiana,MYB_2R,233
Ananas_comosus,MYB_2R,117
Kobresia_littledalei,MYB_2R,91
Cleistogenes_songorica,MYB_2R,242
Oropetium_thomaeum,MYB_2R,112
Eleusine_coracana,MYB_2R,248
Eleusine_indica,MYB_2R,123
Zoysia_matrella,MYB_2R,314
Zoysia_pacifica,MYB_2R,201
Zoysia_japonica,MYB_2R,182
Eragrostis_tef,MYB_2R,54
Eragrostis_curvula,MYB_2R,126
Eragrostis_nindensis,MYB_2R,36
Zea_mays,MYB_2R,170
Coix_lacryma-jobi,MYB_2R,114
Sorghum_bicolor,MYB_2R,134
Miscanthus_lutarioriparius,MYB_2R,293
Miscanthus_sinensis,MYB_2R,261
Saccharum_spp,MYB_2R,75
Saccharum_spontaneum,MYB_2R,114
Panicum_miliaceum,MYB_2R,204
Dichanthelium_oligosanthes,MYB_2R,102
Digitaria_exilis,MYB_2R,234
Panicum_hallii,MYB_2R,134
Cenchrus_purpureus,MYB_2R,313
Setaria_viridis,MYB_2R,136
Alloteropsis_semialata,MYB_2R,121
Echinochloa_crus-galli,MYB_2R,380
Zizania_palustris,MYB_2R,179
Leersia_perrieri,MYB_2R,93
Oryza_granulata,MYB_2R,116
Oryza_brachyantha,MYB_2R,127
Oryza_coarctata,MYB_2R,135
Oryza_officinalis,MYB_2R,71
Oryza_rhizomatis,MYB_2R,64
Oryza_sativa,MYB_2R,129
Oryza_glaberrima,MYB_2R,110
Bonia_amplexicaulis,MYB_2R,290
Guadua_angustifolia,MYB_2R,176
Olyra_latifolia,MYB_2R,132
Raddia_guianensis,MYB_2R,80
Raddia_distichophylla,MYB_2R,116
Brachypodium_hybridum,MYB_2R,250
Brachypodium_stacei,MYB_2R,126
Brachypodium_distachyon,MYB_2R,123
Puccinellia_tenuiflora,MYB_2R,152
Avena_eriantha,MYB_2R,131
Avena_atlantica,MYB_2R,128
Secale_cereale,MYB_2R,151
Hordeum_vulgare,MYB_2R,127
Aegilops_tauschii,MYB_2R,136
Triticum_urartu,MYB_2R,127
Triticum_aestivum,MYB_2R,429
Triticum_turgidum,MYB_2R,248
Eschscholzia_californica,MYB_2R,129
Macleaya_cordata,MYB_2R,90
Papaver_somniferum,MYB_2R,181
Kingdonia_uniflora,MYB_2R,101
Coptis_chinensis,MYB_2R,86
Aquilegia_coerulea,MYB_2R,96
Thalictrum_thalictroides,MYB_2R,64
Nelumbo_nucifera,MYB_2R,111
Macadamia_integrifolia,MYB_2R,124
Tetracentron_sinense,MYB_2R,65
Trochodendron_aralioides,MYB_2R,190
Malania_oleifera,MYB_2R,87
Fagopyrum_tataricum,MYB_2R,169
Fagopyrum_esculentum,MYB_2R,160
Aldrovanda_vesiculosa,MYB_2R,153
Dionaea_muscipula,MYB_2R,87
Drosera_spatulata,MYB_2R,103
Simmondsia_chinensis,MYB_2R,114
Phytolacca_americana,MYB_2R,103
Selenicereus_undatus,MYB_2R,129
Dianthus_caryophyllus,MYB_2R,82
Amaranthus_palmeri,MYB_2R,53
Amaranthus_tuberculatus,MYB_2R,11
Amaranthus_hybridus,MYB_2R,40
Amaranthus_hypochondriacus,MYB_2R,36
Suaeda_aralocaspica,MYB_2R,68
Beta_patula,MYB_2R,65
Beta_vulgaris,MYB_2R,70
Spinacia_oleracea,MYB_2R,72
Atriplex_hortensis,MYB_2R,69
Chenopodium_pallidicaule,MYB_2R,71
Chenopodium_quinoa,MYB_2R,114
Hydrangea_macrophylla,MYB_2R,126
Davidia_involucrata,MYB_2R,218
Camptotheca_acuminata,MYB_2R,186
Nyssa_sinensis,MYB_2R,196
Nyssa_yunnanensis,MYB_2R,161
Diospyros_oleifera,MYB_2R,127
Diospyros_lotus,MYB_2R,197
Aegiceras_corniculatum,MYB_2R,141
Primula_vulgaris,MYB_2R,105
Primula_veris,MYB_2R,80
Camellia_sinensis,MYB_2R,184
Roridula_gorgonias,MYB_2R,67
Actinidia_eriantha,MYB_2R,186
Clethra_arborea,MYB_2R,61
Vaccinium_myrtillus,MYB_2R,136
Vaccinium_corymbosum,MYB_2R,505
Vaccinium_macrocarpon,MYB_2R,109
Vaccinium_microcarpum,MYB_2R,100
Rhododendron_delavayi,MYB_2R,115
Rhododendron_williamsianum,MYB_2R,51
Rhododendron_griersonianum,MYB_2R,48
Rhododendron_simsii,MYB_2R,132
Lonicera_japonica,MYB_2R,145
Panax_ginseng,MYB_2R,224
Daucus_carota,MYB_2R,159
Apium_graveolens,MYB_2R,100
Coriandrum_sativum,MYB_2R,171
Carthamus_tinctorius,MYB_2R,144
Cynara_cardunculus,MYB_2R,56
Lactuca_sativa,MYB_2R,159
Taraxacum_kok-saghyz,MYB_2R,136
Helianthus_annuus,MYB_2R,171
Stevia_rebaudiana,MYB_2R,198
Mikania_micrantha,MYB_2R,159
Artemisia_annua,MYB_2R,222
Chrysanthemum_seticuspe,MYB_2R,226
Chrysanthemum_nankingense,MYB_2R,185
Fraxinus_excelsior,MYB_2R,227
Olea_europaea,MYB_2R,294
Boea_hygrometrica,MYB_2R,104
Buddleja_alternifolia,MYB_2R,133
Antirrhinum_majus,MYB_2R,170
Jacaranda_mimosifolia,MYB_2R,159
Handroanthus_impetiginosus,MYB_2R,157
Strobilanthes_cusia,MYB_2R,171
Genlisea_aurea,MYB_2R,61
Utricularia_gibba,MYB_2R,88
Utricularia_reniformis,MYB_2R,221
Striga_asiatica,MYB_2R,112
Phtheirospermum_japonicum,MYB_2R,119
Erythranthe_luteus,MYB_2R,194
Erythranthe_guttatus,MYB_2R,128
Callicarpa_americana,MYB_2R,153
Tectona_grandis,MYB_2R,188
Pogostemon_cablin,MYB_2R,380
Scutellaria_barbata,MYB_2R,123
Scutellaria_baicalensis,MYB_2R,115
Ocimum_sanctum,MYB_2R,86
Mentha_longifolia,MYB_2R,88
Salvia_miltiorrhiza,MYB_2R,145
Salvia_splendens,MYB_2R,114
Catharanthus_roseus,MYB_2R,40
Calotropis_gigantea,MYB_2R,75
Asclepias_syriaca,MYB_2R,28
Ophiorrhiza_pumila,MYB_2R,96
Chiococca_alba,MYB_2R,143
Mitragyna_speciosa,MYB_2R,285
Gardenia_jasminoides,MYB_2R,45
Coffea_arabica,MYB_2R,182
Coffea_canephora,MYB_2R,104
Cuscuta_australis,MYB_2R,63
Cuscuta_campestris,MYB_2R,80
Ipomoea_triloba,MYB_2R,162
Ipomoea_nil,MYB_2R,157
Nicotiana_sylvestris,MYB_2R,147
Nicotiana_tabacum,MYB_2R,283
Nicotiana_tomentosiformis,MYB_2R,156
Datura_stramonium,MYB_2R,3
Capsicum_baccatum,MYB_2R,120
Capsicum_annuum,MYB_2R,121
Capsicum_chinense,MYB_2R,124
Solanum_commersonii,MYB_2R,139
Solanum_phureja,MYB_2R,160
Solanum_aethiopicum,MYB_2R,122
Solanum_tuberosum,MYB_2R,160
Solanum_chacoense,MYB_2R,150
